src_id,dst_id,weight
143,62,8266
143,88,2844
143,115,10464
143,138,252
143,172,96
143,222,144
143,258,12
143,274,358491
143,461,48
143,513,24
153,123,24
157,54,24
157,212,24
157,234,36
159,200,348
160,158,24
160,281,144
160,466,24
164,162,1224
165,284,60
171,65,96
171,88,192
175,43,24
175,54,24
175,97,24
175,162,1320
175,164,444
175,205,5478
175,212,24
175,215,192
175,216,1176
175,218,2151
175,220,96
175,222,3192
175,234,132
175,297,336
175,328,125
175,348,132
175,408,132
175,515,12
194,205,1995
194,255,24
194,407,94
195,43,24
195,220,48
197,211,48
197,239,48
205,0,48
205,5,24
205,7,185
205,9,324
205,12,120
205,24,156
205,25,11651
205,26,4346
205,30,253
205,38,24
205,40,120
205,42,156
205,43,1644
205,49,312
205,52,1140
205,54,96
205,60,300
205,67,24
205,74,60207
205,82,516
205,87,36
205,90,3192
205,97,1441
205,100,204
205,111,36
205,121,144
205,129,24
205,152,12
205,153,24
205,155,228
205,156,12
205,158,300
205,160,12
205,162,2112
205,163,168
205,164,2262
205,165,221
205,166,180
205,175,299
205,194,1090
205,213,60
205,214,96
205,215,12
205,216,216
205,217,148
205,218,66
205,219,12
205,222,106
205,228,192
205,235,48
205,236,368
205,237,24
205,244,24
205,253,24
205,255,36
205,260,240
205,268,336
205,269,984
205,270,100
205,271,336
205,272,180
205,275,288
205,276,364
205,277,456
205,278,96
205,279,1216
205,281,120
205,282,36
205,283,348
205,284,12
205,296,12
205,300,36
205,301,216
205,302,9
205,303,2
205,304,156
205,305,48
205,326,1038
205,327,432
205,328,120
205,338,12
205,342,24
205,346,408
205,347,48
205,348,192
205,349,24
205,350,24
205,369,48
205,407,145
205,409,425
205,421,24
205,436,48
205,437,168
205,438,24
205,465,96
205,466,24
205,467,48
205,483,24
205,484,36
205,489,24
205,511,12
205,512,24
205,515,24
218,83,696
218,281,12
218,282,6
220,95,48
222,88,24
222,212,144
222,430,48
222,467,120
229,329,624
229,337,24
229,353,120
229,362,48
229,373,96
229,375,48
229,378,120
229,386,72
229,388,96
229,399,96
229,402,24
229,410,120
229,416,120
229,418,24
229,434,24
229,490,24
229,508,24
231,17,2
231,29,1
231,30,60
231,157,513
231,205,12
231,281,192
231,509,24
232,351,48
232,370,24
240,509,24
244,379,24
244,400,168
245,200,576
248,254,24
248,493,48
253,95,96
255,363,12
261,207,48
266,323,96
266,332,120
266,339,24
274,0,732
274,9,408
274,10,12
274,14,12
274,17,36
274,21,12
274,27,24
274,29,5718
274,30,2
274,32,1698
274,35,60
274,38,600
274,42,24
274,44,216
274,48,576
274,74,168
274,82,18
274,83,408
274,85,216
274,87,548
274,88,12
274,94,242
274,95,48
274,96,3492
274,103,48
274,105,24
274,108,24
274,113,192
274,116,312
274,135,2172
274,143,60
274,145,924
274,147,12
274,150,12
274,152,156
274,157,10295
274,159,72
274,169,336
274,174,2268
274,180,24
274,183,12
274,187,60
274,192,48
274,195,780
274,197,96
274,199,12
274,201,60
274,202,4826
274,205,492658
274,215,12
274,220,24
274,221,4
274,222,24
274,224,48
274,227,485
274,229,816
274,230,24
274,232,36
274,238,12
274,240,132
274,241,36
274,243,72
274,244,216
274,248,48
274,251,180
274,252,24
274,255,84
274,266,576
274,267,276
274,281,1716
274,288,72
274,289,3106
274,290,12
274,294,12
274,295,372
274,297,12
274,311,516
274,319,60
274,320,24
274,321,360
274,322,48
274,330,12
274,331,12
274,334,48
274,335,108
274,338,132
274,340,12
274,341,192
274,356,12
274,369,276
274,372,48
274,377,48
274,379,12
274,380,60
274,391,24
274,393,12
274,420,36
274,425,12
274,426,24
274,428,72
274,429,24
274,443,12
274,451,36
274,453,24
274,462,48
274,471,108
274,472,84
274,479,132
274,495,24
274,496,12
274,499,84
274,510,1068
274,511,12
274,512,108
274,513,36
279,43,24
279,326,36
281,83,24
281,159,252
281,195,72
281,209,48
281,212,24
281,218,672
281,220,72
281,226,384
281,229,300
281,244,72
281,320,24
281,338,36
281,361,2016
281,369,12
281,372,48
281,428,24
281,460,24
281,515,12
284,89,3534
289,151,552
289,197,504
289,210,168
289,238,72
289,247,76
289,256,144
289,257,24
289,259,24
289,291,120
289,307,120
289,331,24
289,333,144
289,344,120
289,345,24
289,358,120
289,359,120
289,360,24
289,363,36
289,364,192
289,366,120
289,367,144
289,368,96
289,385,144
289,389,108
289,392,48
289,395,264
289,396,240
289,404,120
289,411,24
289,413,168
289,417,72
289,424,72
289,427,72
289,430,48
289,432,120
289,435,192
289,439,216
289,441,120
289,445,120
289,447,96
289,448,92
289,451,6
289,457,384
289,458,24
289,464,120
289,469,48
289,475,120
289,476,1128
289,485,120
289,488,408
289,493,24
289,501,24
303,157,24
303,271,22
303,274,148
303,279,528
303,300,97
303,407,4722
311,504,168
319,377,72
319,428,24
321,290,144
321,381,120
321,433,360
321,440,120
321,491,72
331,243,24
331,372,24
331,498,24
335,471,36
338,150,192
338,387,72
349,54,24
361,69,12
361,129,24
361,142,120
361,200,84
361,311,2112
361,414,240
361,423,264
361,429,48
361,487,24
361,489,24
361,494,312
361,503,120
364,474,72
367,247,24
367,478,24
369,154,192
369,319,24
369,403,72
369,412,120
407,43,24
407,270,121
408,43,24
423,343,120
427,223,24
428,365,96
435,355,72
437,54,24
437,286,11
437,304,48
441,477,24
457,507,24
488,299,240
488,397,120
497,451,18
512,269,204
