node_id,asn,path_occurrences,in_degree,out_degree,name,org_id,info_traffic,info_ratio,info_scope,info_type,info_prefixes4,info_prefixes6,info_unicast,info_multicast,info_ipv6,ix_count,fac_count,policy_url,policy_general,policy_locations,policy_ratio,policy_contracts
159,2728,110,1,0,GIGSOUTH,21599,20-50Gbps,Heavy Inbound,Regional,Cable/DSL/ISP,10,3,True,False,True,4,5,,Open,Not Required,False,Not Required
160,2734,5474,1,2,CoreSite,34,20-50Gbps,Balanced,North America,NSP,200,40,True,False,True,12,28,,Open,Not Required,False,Not Required
161,2763,320,1,0,,,,,,,,,,,,,,,,,,
162,2857,490,4,0,Johannes Gutenberg-Universitaet Mainz,1665,1-5Gbps,Balanced,Regional,Educational/Research,25,5,True,False,True,1,2,,Open,Not Required,False,Not Required
163,2860,5525,6,0,NOS,10029,1-5Tbps,Mostly Inbound,Europe,Network Services,1000,100,True,True,True,5,7,,Selective,Preferred,False,Private Only
164,2874,1012,3,1,Orange Business Services Nordics,2508,,Not Disclosed,Not Disclosed,,2000,500,False,False,False,3,1,https://www.peeringdb.com/org/2508,Selective,Not Required,False,Not Required
165,2901,1805,2,0,Oso Grande Technologies,26439,,Not Disclosed,Regional,NSP,0,0,True,False,True,1,0,,Open,Not Required,False,Not Required
166,2904,75,1,0,,,,,,,,,,,,,,,,,,
167,2906,4578,18,0,Netflix,6483,,Heavy Outbound,Global,Content,250,250,True,False,True,107,79,https://openconnect.netflix.com/en/peering/#guidelines,Open,Not Required,False,Not Required
168,2907,25200,2,3,National Institute of Informatics,10435,,Heavy Inbound,Asia Pacific,Educational/Research,1700,120,True,False,True,7,0,,Selective,Not Required,False,Not Required
169,2914,3697598,16,472,NTT Global IP Network,1271,,Balanced,Global,NSP,426000,100000,True,False,True,13,83,,Restrictive,Required - International,True,Required
170,3043,10,1,0,Internet Operating Services LLC,548,20-50Gbps,Balanced,Regional,NSP,350,18,True,True,True,1,1,http://www.iosaz.net/peering.html,Open,Not Required,False,Not Required
171,3067,2775,3,0,T-SYSTEMS SOUTH AFRICA,31437,,Mostly Inbound,Global,NSP,120,6,True,False,False,2,0,,Open,Preferred,True,Not Required
172,3132,2155,4,0,Red Cientifica Peruana,21907,20-50Gbps,Balanced,South America,NSP,400,20,True,False,True,2,1,,Open,Not Required,False,Not Required
173,3136,1665,3,0,,,,,,,,,,,,,,,,,,
174,3147,695,3,0,,,,,,,,,,,,,,,,,,
175,3170,4892,8,2,VeloxServ Communications,14799,,Balanced,Global,NSP,1000,2500,True,False,True,4,12,,Selective,Not Required,False,Not Required
176,3212,7878,7,3,Telemach Slovenia,8386,1-5Tbps,Balanced,Europe,NSP,250,16,True,False,True,5,5,,Open,Not Required,False,Not Required
177,3214,2408742,12,475,xTom GmbH,15136,1-5Tbps,Balanced,Europe,Cable/DSL/ISP,1000,1000,True,True,True,11,16,https://peering.xtom.com/,Selective,Required - EU,False,Not Required
178,3216,73142,14,32,VimpelCom,1434,10-20Tbps,Balanced,Europe,NSP,30000,7000,True,False,True,13,6,,Selective,Preferred,False,Not Required
179,3221,390,3,0,EENet,26879,,Not Disclosed,Not Disclosed,Educational/Research,40,16,True,False,True,2,0,,Selective,Not Required,False,Not Required
180,3223,38044,17,59,VOXILITY,3750,1-5Tbps,Balanced,Global,NSP,8000,1000,True,False,True,14,21,,Selective,Preferred,False,Not Required
181,3235,20,2,0,,,,,,,,,,,,,,,,,,
182,3238,295,3,0,Alcom,2453,5-10Gbps,Balanced,Regional,Cable/DSL/ISP,50,5,True,True,True,4,4,,Open,Preferred,False,Not Required
183,3242,2715,3,0,ITNET Italia,23078,,Not Disclosed,Europe,Cable/DSL/ISP,60,7,True,False,True,1,2,,Open,Not Required,False,Not Required
184,3243,1005,1,1,MEO Residential,36608,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
185,3244,35,1,0,,,,,,,,,,,,,,,,,,
186,3245,654,2,1,Digital Systems,28032,,Not Disclosed,Not Disclosed,,100,100,False,False,False,3,0,,Open,Not Required,False,Not Required
187,3255,44585,5,25,UARNet,1942,1-5Tbps,Balanced,Europe,NSP,3500,125,True,True,True,6,8,,Open,Not Required,False,Not Required
188,3257,1429396,12,433,GTT Communications (AS3257),8897,,Balanced,Global,NSP,500000,90000,True,False,True,2,276,https://www.gtt.net/us-en/peering/,Restrictive,Required - International,True,Required
189,3258,4619,5,1,xTom Tokyo,15136,1-5Tbps,Balanced,Asia Pacific,Cable/DSL/ISP,1000,1000,True,True,True,2,9,https://peering.xtom.com/,Selective,Preferred,False,Not Required
190,3259,86,1,0,,,,,,,,,,,,,,,,,,
191,3261,56,2,0,DIPT,10260,,Balanced,Regional,NSP,300,15,True,False,True,3,0,,Open,Not Required,False,
192,3292,8704,6,4,TDC A/S,508,1-5Tbps,Mostly Inbound,Regional,Cable/DSL/ISP,2500,250,True,True,True,20,13,http://noc.eng.tdc.net/peering/,Selective,Preferred,True,Not Required
